Runda,Data,N1,N2,N3,N4,N5,N6,,,,,,,
Tragerea #94,1995-08-13,24,33,25,44,42,28,,,,,,,
Tragerea #95,1995-08-20,28,2,30,16,29,10,,,,,,,
Tragerea #96,1995-08-27,45,40,16,6,32,38,,,,,,,
Tragerea #97,1995-09-03,28,35,41,34,20,25,,,,,,,
Tragerea #98,1995-09-10,10,17,28,32,27,35,,,,,,,
Tragerea #99,1995-09-17,22,6,19,3,31,15,,,,,,,
Tragerea #100,1995-09-24,31,7,9,40,26,14,,,,,,,
Tragerea #101,1995-10-01,13,6,21,41,19,15,,,,,,,
Tragerea #102,1995-10-08,45,28,2,34,26,7,,,,,,,
Tragerea #103,1995-10-15,39,3,26,38,11,20,,,,,,,
Tragerea #104,1995-10-22,28,2,43,47,12,19,,,,,,,
Tragerea #105,1995-10-29,8,42,17,12,32,43,,,,,,,
Tragerea #106,1995-11-05,10,12,36,42,18,1,,,,,,,
Tragerea #107,1995-11-12,21,18,15,35,11,7,,,,,,,
Tragerea #108,1995-11-19,21,1,9,16,37,42,,,,,,,
Tragerea #109,1995-11-26,18,45,17,23,9,39,,,,,,,
Tragerea #110,1995-12-03,39,46,40,41,9,23,,,,,,,
Tragerea #111,1995-12-10,41,7,36,33,6,14,,,,,,,
Tragerea #112,1995-12-17,5,14,10,9,3,15,,,,,,,
Tragerea #113,1996-01-02,28,14,24,20,37,33,,,,,,,
Tragerea #114,1996-01-14,4,32,2,20,7,35,,,,,,,
Tragerea #115,1996-01-21,12,14,27,5,19,42,,,,,,,
Tragerea #116,1996-01-28,7,38,43,18,5,12,,,,,,,
Tragerea #117,1996-02-04,11,19,46,20,12,29,,,,,,,
Tragerea #118,1996-02-11,30,16,5,22,15,21,,,,,,,
Tragerea #119,1996-02-18,37,47,14,6,38,45,,,,,,,
Tragerea #120,1996-02-25,19,10,45,17,47,23,,,,,,,
Tragerea #121,1996-03-03,28,48,21,35,16,33,,,,,,,
Tragerea #122,1996-03-10,45,18,12,25,9,22,,,,,,,
Tragerea #123,1996-03-17,22,32,13,46,5,10,,,,,,,
Tragerea #124,1996-03-24,40,34,7,46,41,27,,,,,,,
Tragerea #125,1996-03-31,27,17,40,48,30,44,,,,,,,
Tragerea #126,1996-04-07,25,38,3,9,46,47,,,,,,,
Tragerea #127,1996-04-14,21,38,36,31,15,11,,,,,,,
Tragerea #128,1996-04-21,5,25,42,46,26,15,,,,,,,
Tragerea #129,1996-04-28,25,10,18,8,31,44,,,,,,,
Tragerea #130,1996-05-05,4,14,13,32,35,19,,,,,,,
Tragerea #131,1996-05-12,11,16,22,35,20,23,,,,,,,
Tragerea #132,1996-05-19,14,38,34,49,37,42,,,,,,,
Tragerea #133,1996-05-26,10,29,21,19,31,26,,,,,,,
Tragerea #134,1996-06-02,44,23,49,43,15,16,,,,,,,
Tragerea #135,1996-06-09,1,35,27,9,14,36,,,,,,,
Tragerea #136,1996-06-16,49,40,23,16,26,24,,,,,,,
Tragerea #137,1996-06-23,15,22,19,2,29,31,,,,,,,
Tragerea #138,1996-06-30,33,14,41,2,46,21,,,,,,,
Tragerea #139,1996-07-07,41,8,9,12,2,44,,,,,,,
Tragerea #140,1996-07-14,27,6,9,13,43,18,,,,,,,
Tragerea #141,1996-07-21,36,10,37,16,23,46,,,,,,,
Tragerea #142,1996-07-28,39,32,25,17,9,42,,,,,,,
Tragerea #143,1996-08-04,8,40,48,15,17,14,,,,,,,
Tragerea #144,1996-08-11,14,46,16,49,17,1,,,,,,,
Tragerea #145,1996-08-18,29,28,1,5,48,47,,,,,,,
Tragerea #146,1996-08-25,44,1,25,20,46,34,,,,,,,
Tragerea #147,1996-09-01,36,13,19,15,11,3,,,,,,,
Tragerea #148,1996-09-08,20,39,30,1,32,2,,,,,,,
Tragerea #149,1996-09-15,20,5,1,8,36,7,,,,,,,
Tragerea #150,1996-09-22,18,4,3,37,35,25,,,,,,,
Tragerea #151,1996-09-29,28,4,8,29,32,20,,,,,,,
Tragerea #152,1996-10-06,36,13,47,27,44,7,,,,,,,
Tragerea #153,1996-10-13,27,23,31,34,17,25,,,,,,,
Tragerea #154,1996-10-20,7,2,43,42,13,5,,,,,,,
Tragerea #155,1996-10-27,40,20,17,39,34,9,,,,,,,
Tragerea #156,1996-11-03,16,48,49,45,34,15,,,,,,,
