Runda,Data,N1,N2,N3,N4,N5,N6,,,,,,,
Tragerea #157,1996-11-10,34,22,24,12,10,37,,,,,,,
Tragerea #158,1996-11-17,23,32,46,6,27,14,,,,,,,
Tragerea #159,1996-11-24,3,15,13,35,36,5,,,,,,,
Tragerea #160,1996-12-01,21,45,5,7,37,48,,,,,,,
Tragerea #161,1996-12-08,47,20,3,16,33,35,,,,,,,
Tragerea #162,1996-12-15,31,15,38,46,23,10,,,,,,,
Tragerea #163,1996-12-22,35,48,49,23,14,29,,,,,,,
Tragerea #164,1997-01-02,26,25,23,5,13,35,,,,,,,
Tragerea #165,1997-01-12,2,24,20,18,10,29,,,,,,,
Tragerea #166,1997-01-19,9,43,42,33,12,23,,,,,,,
Tragerea #167,1997-01-26,24,27,23,33,18,29,,,,,,,
Tragerea #168,1997-02-02,17,11,1,20,13,23,,,,,,,
Tragerea #169,1997-02-09,7,48,43,4,17,45,,,,,,,
Tragerea #170,1997-02-16,18,17,28,8,20,5,,,,,,,
Tragerea #171,1997-02-23,39,18,33,15,20,23,,,,,,,
Tragerea #172,1997-03-02,42,36,6,10,17,16,,,,,,,
Tragerea #173,1997-03-09,29,27,37,38,1,12,,,,,,,
Tragerea #174,1997-03-16,12,9,23,46,19,37,,,,,,,
Tragerea #175,1997-03-23,5,13,33,37,16,22,,,,,,,
Tragerea #176,1997-03-30,5,11,28,18,39,27,,,,,,,
Tragerea #177,1997-04-06,5,49,22,8,24,16,,,,,,,
Tragerea #178,1997-04-13,1,41,6,25,31,14,,,,,,,
Tragerea #179,1997-04-20,25,3,8,24,2,27,,,,,,,
Tragerea #180,1997-04-29,1,13,45,20,21,12,,,,,,,
Tragerea #181,1997-05-04,43,33,42,46,17,7,,,,,,,
Tragerea #182,1997-05-11,31,45,16,29,32,28,,,,,,,
Tragerea #183,1997-05-18,20,26,42,36,49,9,,,,,,,
Tragerea #184,1997-05-25,14,15,11,46,41,16,,,,,,,
Tragerea #185,1997-06-01,19,23,32,18,36,15,,,,,,,
Tragerea #186,1997-06-08,26,37,30,27,23,39,,,,,,,
Tragerea #187,1997-06-15,45,17,14,29,39,27,,,,,,,
Tragerea #188,1997-06-22,46,43,9,40,4,34,,,,,,,
Tragerea #189,1997-06-29,38,35,48,9,34,37,,,,,,,
Tragerea #190,1997-07-06,23,16,17,9,15,26,,,,,,,
Tragerea #191,1997-07-13,33,32,9,1,42,3,,,,,,,
Tragerea #192,1997-07-20,14,28,10,24,2,11,,,,,,,
Tragerea #193,1997-07-27,4,44,20,10,7,11,,,,,,,
Tragerea #194,1997-08-03,24,42,2,30,26,28,,,,,,,
Tragerea #195,1997-08-10,2,48,9,34,42,8,,,,,,,
Tragerea #196,1997-08-17,46,37,3,43,34,30,,,,,,,
Tragerea #197,1997-08-24,46,13,48,29,39,3,,,,,,,
Tragerea #198,1997-08-31,38,49,22,34,46,14,,,,,,,
Tragerea #199,1997-09-07,19,46,13,9,15,14,,,,,,,
Tragerea #200,1997-09-14,40,21,47,2,31,45,,,,,,,
Tragerea #201,1997-09-21,20,26,43,17,41,38,,,,,,,
Tragerea #202,1997-09-28,43,17,22,20,34,23,,,,,,,
Tragerea #203,1997-10-05,25,19,12,45,49,5,,,,,,,
Tragerea #204,1997-10-12,48,1,43,32,26,24,,,,,,,
Tragerea #205,1997-10-19,41,42,13,4,3,49,,,,,,,
Tragerea #206,1997-10-26,26,10,4,36,25,46,,,,,,,
Tragerea #207,1997-11-02,30,1,46,28,48,45,,,,,,,
Tragerea #208,1997-11-09,30,3,37,5,20,2,,,,,,,
Tragerea #209,1997-11-16,31,22,29,13,15,21,,,,,,,
Tragerea #210,1997-11-23,38,6,34,35,15,46,,,,,,,
Tragerea #211,1997-11-30,30,1,42,3,18,49,,,,,,,
Tragerea #212,1997-12-07,4,16,39,29,45,11,,,,,,,
Tragerea #213,1997-12-14,27,42,31,6,9,21,,,,,,,
Tragerea #214,1997-12-21,24,12,46,6,26,27,,,,,,,
Tragerea #215,1998-01-04,17,23,5,35,34,24,,,,,,,
Tragerea #216,1998-01-11,27,32,20,28,29,12,,,,,,,
Tragerea #217,1998-01-18,16,33,21,8,23,43,,,,,,,
Tragerea #218,1998-01-25,26,46,1,27,30,13,,,,,,,
Tragerea #219,1998-02-01,23,10,48,44,19,18,,,,,,,
Tragerea #220,1998-02-08,42,2,4,21,1,29,,,,,,,
Tragerea #221,1998-02-15,5,33,36,31,39,46,,,,,,,
Tragerea #222,1998-02-22,24,35,23,7,15,38,,,,,,,
Tragerea #223,1998-03-01,17,34,11,2,45,30,,,,,,,
Tragerea #224,1998-03-08,33,14,49,46,36,45,,,,,,,
Tragerea #225,1998-03-15,49,35,33,24,36,43,,,,,,,
Tragerea #226,1998-03-22,4,48,27,26,30,44,,,,,,,
Tragerea #227,1998-03-29,39,13,23,4,8,29,,,,,,,
Tragerea #228,1998-04-05,8,7,18,25,41,12,,,,,,,
Tragerea #229,1998-04-12,47,11,25,15,40,7,,,,,,,
Tragerea #230,1998-04-21,9,26,43,5,7,24,,,,,,,
Tragerea #231,1998-04-26,22,1,45,34,15,26,,,,,,,
Tragerea #232,1998-05-03,33,22,49,31,35,10,,,,,,,
Tragerea #233,1998-05-10,43,40,48,5,11,29,,,,,,,
Tragerea #234,1998-05-17,21,44,13,5,9,41,,,,,,,
Tragerea #235,1998-05-24,20,8,43,46,48,26,,,,,,,
Tragerea #236,1998-05-31,11,33,46,15,4,44,,,,,,,
Tragerea #237,1998-06-07,44,32,45,21,31,37,,,,,,,
Tragerea #238,1998-06-14,33,43,5,29,47,21,,,,,,,
Tragerea #239,1998-06-21,16,5,17,13,4,28,,,,,,,
Tragerea #240,1998-06-28,48,30,15,22,5,35,,,,,,,
Tragerea #241,1998-07-05,21,43,17,14,12,11,,,,,,,
Tragerea #242,1998-07-12,16,22,13,20,6,1,,,,,,,
Tragerea #243,1998-07-19,9,18,11,49,21,29,,,,,,,
Tragerea #244,1998-07-26,28,5,8,17,13,24,,,,,,,
Tragerea #245,1998-08-02,39,29,15,33,23,7,,,,,,,
Tragerea #246,1998-08-09,47,29,36,42,25,20,,,,,,,
Tragerea #247,1998-08-16,34,25,3,43,33,6,,,,,,,
Tragerea #248,1998-08-23,15,23,21,29,44,6,,,,,,,
Tragerea #249,1998-08-30,49,18,30,10,22,27,,,,,,,
Tragerea #250,1998-09-06,15,27,35,17,7,44,,,,,,,
Tragerea #251,1998-09-13,22,44,42,10,14,49,,,,,,,
Tragerea #252,1998-09-20,20,3,9,39,24,11,,,,,,,
Tragerea #253,1998-09-27,18,3,26,16,13,5,,,,,,,
Tragerea #254,1998-10-04,40,45,24,33,13,9,,,,,,,
Tragerea #255,1998-10-11,13,18,32,38,46,26,,,,,,,
Tragerea #256,1998-10-18,22,13,42,36,26,38,,,,,,,
Tragerea #257,1998-10-25,31,43,44,13,32,16,,,,,,,
Tragerea #258,1998-11-01,6,19,36,25,2,32,,,,,,,
Tragerea #259,1998-11-08,7,48,17,26,10,15,,,,,,,
Tragerea #260,1998-11-15,13,34,39,28,15,37,,,,,,,
Tragerea #261,1998-11-22,12,37,4,30,46,36,,,,,,,
Tragerea #262,1998-11-29,30,22,19,34,32,15,,,,,,,
Tragerea #263,1998-12-06,25,16,27,33,26,22,,,,,,,
Tragerea #264,1998-12-13,28,8,43,31,18,24,,,,,,,
Tragerea #265,1998-12-20,19,36,48,23,41,29,,,,,,,
Tragerea #266,1999-01-03,13,12,18,38,25,33,,,,,,,
Tragerea #267,1999-01-10,11,36,41,38,43,18,,,,,,,
Tragerea #268,1999-01-17,12,45,25,18,30,21,,,,,,,
Tragerea #269,1999-01-24,37,10,35,41,20,43,,,,,,,
Tragerea #270,1999-01-31,23,28,36,3,2,38,,,,,,,
Tragerea #271,1999-02-07,37,43,38,36,40,20,,,,,,,
Tragerea #272,1999-02-14,35,17,48,45,36,1,,,,,,,
Tragerea #273,1999-02-21,38,40,43,33,32,29,,,,,,,
Tragerea #274,1999-02-28,10,15,3,43,37,28,,,,,,,
Tragerea #275,1999-03-07,13,26,45,2,11,31,,,,,,,
Tragerea #276,1999-03-14,48,24,29,23,7,32,,,,,,,
Tragerea #277,1999-03-21,47,9,41,2,30,10,,,,,,,
Tragerea #278,1999-03-28,30,17,49,27,3,5,,,,,,,
Tragerea #279,1999-04-04,11,31,35,18,7,22,,,,,,,
Tragerea #280,1999-04-13,17,26,1,29,6,10,,,,,,,
Tragerea #281,1999-04-18,49,29,45,31,39,26,,,,,,,
Tragerea #282,1999-04-25,8,42,6,47,2,20,,,,,,,
Tragerea #283,1999-05-02,3,24,27,29,26,23,,,,,,,
Tragerea #284,1999-05-09,24,2,13,30,26,27,,,,,,,
Tragerea #285,1999-05-16,36,33,26,3,10,14,,,,,,,
Tragerea #286,1999-05-23,26,33,38,30,3,23,,,,,,,
Tragerea #287,1999-05-30,44,20,25,16,31,24,,,,,,,
Tragerea #288,1999-06-06,23,17,9,44,11,31,,,,,,,
Tragerea #289,1999-06-13,49,26,24,19,11,15,,,,,,,
Tragerea #290,1999-06-20,18,6,32,30,24,40,,,,,,,
Tragerea #291,1999-06-27,49,27,26,41,16,31,,,,,,,
Tragerea #292,1999-07-04,12,13,15,38,43,34,,,,,,,
Tragerea #293,1999-07-11,24,8,10,13,28,44,,,,,,,
Tragerea #294,1999-07-18,14,20,24,9,4,39,,,,,,,
Tragerea #295,1999-07-25,16,20,39,49,28,22,,,,,,,
Tragerea #296,1999-08-01,48,25,2,22,31,43,,,,,,,
Tragerea #297,1999-08-08,21,34,18,32,35,10,,,,,,,
Tragerea #298,1999-08-15,30,27,9,40,44,7,,,,,,,
Tragerea #299,1999-08-22,49,16,6,43,36,9,,,,,,,
Tragerea #300,1999-08-29,14,23,22,30,6,15,,,,,,,
Tragerea #301,1999-09-05,12,46,49,47,35,45,,,,,,,
Tragerea #302,1999-09-12,46,17,8,26,15,23,,,,,,,
Tragerea #303,1999-09-19,33,37,19,47,22,26,,,,,,,
Tragerea #304,1999-09-26,49,46,26,12,22,39,,,,,,,
Tragerea #305,1999-10-03,13,19,33,42,3,28,,,,,,,
Tragerea #306,1999-10-10,18,24,17,46,41,12,,,,,,,
